FSA,lat_coord,lon_coord
L6A,43.8769,-79.5108
L6B,43.8825,-79.2096
L6C,43.9077,-79.3339
L6E,43.9007,-79.2665
L6G,43.8397,-79.3313
L6H,43.4781,-79.7351
L6J,43.4752,-79.659
L6K,43.4398,-79.687
L6L,43.4082,-79.7139
L6M,43.4331,-79.7463
L6P,43.795,-79.702
L6R,43.7584,-79.7631
L6S,43.7394,-79.6963
L6T,43.7036,-79.7022
L6V,43.7059,-79.7627
L6W,43.6782,-79.7255
L6X,43.6614,-79.8032
L6Y,43.6456,-79.7719
L6Z,43.726,-79.797
L7A,43.6898,-79.8407
L7B,43.9759,-79.5675
L7C,43.8011,-79.8648
L7E,43.9161,-79.7907
L7G,43.6437,-79.9199
L7J,43.6342,-80.0473
L7K,43.8676,-80.0027
L7L,43.3814,-79.768
L7M,43.4067,-79.8463
L7N,43.3491,-79.782
L7P,43.3858,-79.8801
L7R,43.3372,-79.8031
L7S,43.3234,-79.8096
L7T,43.3099,-79.8466
L8B,43.342,-79.9867
L8E,43.2239,-79.6974
L8G,43.2164,-79.7417
L8H,43.2561,-79.7911
L8J,43.184,-79.7272
L8K,43.2214,-79.799
L8L,43.2651,-79.8355
L8M,43.2439,-79.8354
L8N,43.3591,-79.9729
L8P,43.2516,-79.8942
L8R,43.2701,-79.8808
L8S,43.2506,-79.9558
L8T,43.2188,-79.8282
L8V,43.2263,-79.85
L8W,43.2005,-79.8531
L9A,43.2268,-79.8713
L9B,43.1965,-79.892
L9C,43.2311,-79.9043
L9E,43.5048,-79.8263
L9G,43.1825,-79.9928
L9H,43.2834,-79.9647
L9J,44.3296,-79.6708
L9K,43.2229,-79.9423
L9L,44.1101,-78.9798
L9M,44.8063,-80.0452
L9N,44.1254,-79.4861
L9P,44.1158,-79.1525
L9R,44.1867,-79.8664
L9S,44.3297,-79.5878
L9T,43.5418,-79.9053
L9V,44.135,-80.191
L9W,43.9359,-80.2105
L9X,44.434,-79.7898
L9Y,44.4711,-80.3024
L9Z,44.4969,-80.0245
M1B,43.8186,-79.1917
M1C,43.7876,-79.156
M1E,43.7673,-79.1859
M1G,43.7724,-79.2167
M1H,43.7671,-79.2396
